,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
161,"Stonehouse Road, Sutton Coldfield, B73 6LP",660000,Detached Bungalow,52.55193,-1.842227,5.0,2.0,
162,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",655000,Duplex,52.48412,-1.89585,3.0,3.0,"1,367 sq. ft."
163,"Eastbourne Avenue, Birmingham",650000,Semi-Detached,52.495609,-1.809963,6.0,4.0,
164,"Sherborne Lofts, 33 Grosvenor Street West, B16 8HW",650000,Apartment,52.476833,-1.916708,2.0,2.0,"2,067 sq. ft."
165,"City Centre, 2552 Sq Ft, Balcony Waterside Fully Furnished",650000,Penthouse,52.476819,-1.916833,3.0,3.0,"2,552 sq. ft."
166,"Mayland Road, Edgbaston",650000,Land,52.478564,-1.952252,5.0,,
167,"Dinmore Avenue, Bournville Village Trust, Northfield, Birmingham, B31",650000,Detached,52.415588,-1.962082,4.0,1.0,
168,"Wheelers Lane,Birmingham,B13 0SG",650000,Semi-Detached,52.428814,-1.884594,4.0,4.0,"2,012 sq. ft."
169,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",650000,Duplex,52.48412,-1.89585,3.0,3.0,"1,388 sq. ft."
170,"Sydenham Place TOWNHOUSE, Tenby Street, Jewellery Quarter, B1 3EE",649950,Semi-Detached,52.486175,-1.913693,4.0,3.0,"1,815 sq. ft."
171,"Sydenham Place, 26C Tenby Street , Jewellery Quarter",649950,Town House,52.48575,-1.91351,3.0,2.0,"1,941 sq. ft."
172,"Sydenham Place, Tenby Street, Jewellery Quarter, B1",649950,Town House,52.486102,-1.914059,4.0,2.0,
173,"Packhorse Lane, Near Wythall",635000,Detached Bungalow,52.38955,-1.90224,3.0,1.0,
174,"Margaret Road, Birmingham",625000,Terraced,52.45664,-1.95139,5.0,3.0,
175,"Rochester Road, Birmingham",190000,End of Terrace,52.41458,-1.97026,3.0,1.0,
176,"Serpentine Road,Selly Park,Birmingham,B29 7HU",625000,Detached,52.44413,-1.925307,4.0,2.0,
177,"Alben Works, Legge Lane, Birmingham B1",625000,Town House,52.484211,-1.913817,3.0,2.0,
178,"Britwell Road, Sutton Coldfield, B73",625000,Detached,52.550022,-1.83687,3.0,2.0,
179,"School Road, Moseley, Birmingham, West Midlands, B13",625000,Detached,52.440909,-1.886117,4.0,1.0,
180,"New Street, Castle Bromwich, Birmingham",625000,Detached,52.50419,-1.78295,4.0,2.0,
181,"Gillott Road, Birmingham",625000,Detached,52.47578,-1.949588,5.0,,
182,30 Ryland Road,625000,Town House,52.468061,-1.907915,4.0,1.0,"2,098 sq. ft."
183,"Alben Works, 1+2 Legge Lane",625000,Town House,52.4844,-1.91337,3.0,2.0,"1,368 sq. ft."
184,"Northfield Road, Kings Norton, Birmingham, B30",625000,Semi-Detached,52.417421,-1.933027,4.0,2.0,
185,"Priory House, Gooch Street North, Birmingham, B5",625000,Penthouse,52.472018,-1.897175,3.0,2.0,
186,"Elwyn Road, Sutton Coldfield, B73",625000,Detached,52.554703,-1.835171,4.0,2.0,
187,Belmont Row Birmingham B4 7RQ,625000,Apartment,52.48393,-1.88201,2.0,2.0,"1,154 sq. ft."
188,"Welford Road, Sutton Coldfield",625000,Detached,52.546925,-1.851017,4.0,1.0,
189,"Mayfield Road, Wylde Green",610000,Semi-Detached,52.55084,-1.83316,5.0,1.0,
190,"Mayfield Road, Sutton Coldfield, B73 5QL",610000,Semi-Detached,52.55097,-1.833434,5.0,1.0,
191,"Church Lane, Handsworth, Birmingham",609000,Semi-Detached,52.51354,-1.92702,7.0,2.0,
192,"Blenheim Road, Birmingham",600000,Semi-Detached,52.437881,-1.884096,4.0,4.0,
193,"Chances Street, Edgbaston",600000,Detached,52.482069,-1.955833,4.0,3.0,
194,Queens College Chambers,600000,Apartment,52.47873,-1.90366,2.0,2.0,"1,700 sq. ft."
195,"Whitecrest, Birmingham, B43",600000,Detached,52.547693,-1.925229,5.0,3.0,
196,"Barnsley Road, Edgbaston",600000,Semi-Detached,52.473382,-1.965607,6.0,2.0,
197,"Alcester Road, Moseley, Birmingham",600000,Detached,52.441535,-1.892475,4.0,1.0,
198,"Vivian Road, Harborne, Birmingham",600000,Semi-Detached,52.4571,-1.95404,3.0,1.0,
199,"Viceroy House, Jewellery Quarter, Birmingham City Centre",600000,Apartment,52.485309,-1.902781,2.0,2.0,
200,"East Drive, Edgbaston, Birmingham",365000,Town House,52.45383,-1.90872,3.0,1.0,"1,274 sq. ft."
201,"Viceroy House, Jewellery Quarter, Birmingham City Centre",600000,Apartment,52.485309,-1.902781,2.0,2.0,
202,"Station Road, Wythall, Birmingham",600000,Detached Bungalow,52.37498,-1.876266,4.0,2.0,
203,"Court Oak Road, Harborne",600000,Semi-Detached,52.459777,-1.961884,4.0,1.0,
